"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"63745","DG-1-I-06-T-D1","DG-1","I",6,"T","12° 44.5216' N  36° 8.2035' E","DG-1-I-06-T",12.7420266666667,36.136725
"64001","DG-1-I-06-M-D1","DG-1","I",6,"M","12° 44.5216' N  36° 8.2035' E","DG-1-I-06-M",12.7420266666667,36.136725
"64257","DG-1-I-06-L-D1","DG-1","I",6,"L","12° 44.5238' N  36° 8.2053' E","DG-1-I-06-L",12.7420633333333,36.136755
"64513","DG-1-I-09-T-D1","DG-1","I",9,"T","12° 44.5322' N  36° 8.1990' E","DG-1-I-09-T",12.7422033333333,36.13665
"64769","DG-1-I-09-M-D1","DG-1","I",9,"M","12° 44.5328' N  36° 8.1966' E","DG-1-I-09-M",12.7422133333333,36.13661
"65025","DG-1-I-09-L-D1","DG-1","I",9,"L","12° 44.5328' N  36° 8.1964' E","DG-1-I-09-L",12.7422133333333,36.1366066666667
"65281","DG-1-I-12-T-D1","DG-1","I",12,"T","12° 44.5588' N  36° 8.1618' E","DG-1-I-12-T",12.7426466666667,36.13603
"65537","DG-1-I-12-M-D1","DG-1","I",12,"M","12° 44.5588' N  36° 8.1618' E","DG-1-I-12-M",12.7426466666667,36.13603
"65793","DG-1-I-12-L-D1","DG-1","I",12,"L","12° 44.5588' N  36° 8.1618' E","DG-1-I-12-L",12.7426466666667,36.13603
"66049","DG-1-I-15-T-D1","DG-1","I",15,"T","12° 44.5582' N  36° 8.1591' E","DG-1-I-15-T",12.7426366666667,36.135985
"66305","DG-1-I-15-M-D1","DG-1","I",15,"M","12° 44.5565' N  36° 8.1569' E","DG-1-I-15-M",12.7426083333333,36.1359483333333
"66561","DG-1-I-15-L-D1","DG-1","I",15,"L","12° 44.5565' N  36° 8.1569' E","DG-1-I-15-L",12.7426083333333,36.1359483333333
"66817","DG-1-I-18-T-D1","DG-1","I",18,"T","12° 44.5509' N  36° 8.1354' E","DG-1-I-18-T",12.742515,36.13559
"67073","DG-1-I-18-M-D1","DG-1","I",18,"M","12° 44.5509' N  36° 8.1354' E","DG-1-I-18-M",12.742515,36.13559
"67329","DG-1-I-18-L-D1","DG-1","I",18,"L","12° 44.5509' N  36° 8.1354' E","DG-1-I-18-L",12.742515,36.13559
"67585","DG-1-I-21-T-D1","DG-1","I",21,"T","12° 44.5809' N  36° 8.1175' E","DG-1-I-21-T",12.743015,36.1352916666667
"67841","DG-1-I-21-M-D1","DG-1","I",21,"M","12° 44.5819' N  36° 8.1147' E","DG-1-I-21-M",12.7430316666667,36.135245
"68097","DG-1-I-21-L-D1","DG-1","I",21,"L","12° 44.5819' N  36° 8.1147' E","DG-1-I-21-L",12.7430316666667,36.135245
"68353","DG-1-I-24-T-D1","DG-1","I",24,"T","12° 44.5819' N  36° 8.1147' E","DG-1-I-24-T",12.7430316666667,36.135245
"68609","DG-1-I-24-M-D1","DG-1","I",24,"M","12° 44.5819' N  36° 8.1147' E","DG-1-I-24-M",12.7430316666667,36.135245
"68865","DG-1-I-24-L-D1","DG-1","I",24,"L","12° 44.5819' N  36° 8.1147' E","DG-1-I-24-L",12.7430316666667,36.135245
"69121","DG-1-I-27-T-D1","DG-1","I",27,"T","12° 44.5583' N  36° 8.1071' E","DG-1-I-27-T",12.7426383333333,36.1351183333333
"69377","DG-1-I-27-M-D1","DG-1","I",27,"M","12° 44.5583' N  36° 8.1071' E","DG-1-I-27-M",12.7426383333333,36.1351183333333
"69633","DG-1-I-27-L-D1","DG-1","I",27,"L","12° 44.5583' N  36° 8.1071' E","DG-1-I-27-L",12.7426383333333,36.1351183333333
"69889","DG-1-I-30-T-D1","DG-1","I",30,"T","12° 44.5513' N  36° 8.1275' E","DG-1-I-30-T",12.7425216666667,36.1354583333333
"70145","DG-1-I-30-M-D1","DG-1","I",30,"M","12° 44.5513' N  36° 8.1275' E","DG-1-I-30-M",12.7425216666667,36.1354583333333
"70401","DG-1-I-30-L-D1","DG-1","I",30,"L","12° 44.5513' N  36° 8.1275' E","DG-1-I-30-L",12.7425216666667,36.1354583333333
